Package,Description,Group,Repo
yaourt,aur packages manager,devel, 
pacaur,pacman yaourt combine,devel,
adobe-source-code-pro-fonts,font,office,
cantarell-fonts,font,office,
nerd-fonts-complete,font,office,A
ttf-weather-icons,font,office,A
gpick,color chooser,development,
flameshot,Screen shot powerfull,office,
unzip,unzips zip,office,
unrar,unrars rar file,office,
firefox,internet explorer,internet,
galculator,calculator,development,
bless,hex editor,development,
python2,python version 2,development,
chrpath,...,development,
cpio,...,development,
diffstat,...,development,
rpcsvc-proto,...,development,
mqttbox,MQTT Client,development,A
sc-im,excel like terminal,office,A
skypeforlinux-stable-bin,Skype chat,office,A
go,Go Language,development,
gdb,GDB Debugger,development,
tmux,Tmux,office,
vim,editor,office,
nvim,editor neovim,office,
ibus,Input Method,office,
Ibus-bamboo,Vietnamese Input Method,office,A
ibus-teni,,office,S
updatetime,,time,S
kvantum-qt5,kde svg theme,desktop,
kvantum-theme-arc,kde svg arc theme,desktop,
papirus-icon-theme,papirus icons,desktop,
fsearch-git,seach everything,utilites,A
tlp,Power Saving,power,
tp_smapi,Modules for ThinkPad's SMAPI functionality,power,
unzip,unzip file,system,
jdk8-openjdk,Java Environment,system,
ntfs-3g,ntfs file system,system,
p7zip,7z file,system,
ark,file extractor,system,
balena-etcher,ISO Writer,system,A
libreoffice-still,Office Suite,office,
